time,value
2024-04-17T00:00:01.757278841Z,107
2024-04-17T00:00:06.773250387Z,113
2024-04-17T00:00:11.790866074Z,112
2024-04-17T00:00:16.808278938Z,111
2024-04-17T00:00:21.825917951Z,111
2024-04-17T00:00:26.843723135Z,112
2024-04-17T00:00:31.861174072Z,112
2024-04-17T00:00:36.846064808Z,112
2024-04-17T00:00:41.896668694Z,112
2024-04-17T00:00:46.812253138Z,112
2024-04-17T00:00:51.829516692Z,110
2024-04-17T00:00:56.853226633Z,112
2024-04-17T00:01:01.864912897Z,109
2024-04-17T00:01:06.882548481Z,111
2024-04-17T00:01:11.900375304Z,111
2024-04-17T00:01:16.815793685Z,112
2024-04-17T00:01:21.833356919Z,112
2024-04-17T00:01:26.852146003Z,112
2024-04-17T00:01:31.868584897Z,113
2024-04-17T00:01:36.885789633Z,109
2024-04-17T00:01:41.903443708Z,112
2024-04-17T00:01:46.921023112Z,112
2024-04-17T00:01:51.938433828Z,111
2024-04-17T00:01:56.854255583Z,113
2024-04-17T00:02:01.871885898Z,112
2024-04-17T00:02:06.889463443Z,111
2024-04-17T00:02:11.906881767Z,112
2024-04-17T00:02:16.924683553Z,111
2024-04-17T00:02:21.942358989Z,112
2024-04-17T00:02:26.959647179Z,113
2024-04-17T00:02:31.977486462Z,111
2024-04-17T00:02:36.892933936Z,110
2024-04-17T00:02:41.910596331Z,110
2024-04-17T00:02:46.92788451Z,110
2024-04-17T00:02:51.945483381Z,111
2024-04-17T00:02:56.963126202Z,110
2024-04-17T00:03:01.980742864Z,113
2024-04-17T00:03:06.998337988Z,113
2024-04-17T00:03:11.914103577Z,113
2024-04-17T00:03:16.931531204Z,112
2024-04-17T00:03:21.949039704Z,113
2024-04-17T00:03:26.966680399Z,111
2024-04-17T00:03:31.984045653Z,112
2024-04-17T00:03:37.001813877Z,113
2024-04-17T00:03:42.01982776Z,112
2024-04-17T00:03:46.934667245Z,111
2024-04-17T00:03:51.952684298Z,111
2024-04-17T00:03:56.970088343Z,111
2024-04-17T00:04:01.987828916Z,112
2024-04-17T00:04:07.005356422Z,113
2024-04-17T00:04:12.023111076Z,112
2024-04-17T00:04:17.041408704Z,112
2024-04-17T00:04:22.058407044Z,113
2024-04-17T00:04:26.973667091Z,112
2024-04-17T00:04:31.991519971Z,111
2024-04-17T00:04:37.008362796Z,112
2024-04-17T00:04:42.026617428Z,111
2024-04-17T00:04:47.044227723Z,111
2024-04-17T00:04:52.061915269Z,112
2024-04-17T00:04:57.079324744Z,112
2024-04-17T00:05:02.097140653Z,112
2024-04-17T00:05:07.012244833Z,112
2024-04-17T00:05:12.133252341Z,111
2024-04-17T00:05:17.047481872Z,113
2024-04-17T00:05:22.064920488Z,112
2024-04-17T00:05:27.083045695Z,111
2024-04-17T00:05:32.100302009Z,112
2024-04-17T00:05:37.118970892Z,112
2024-04-17T00:05:42.033942446Z,112
2024-04-17T00:05:47.051329825Z,113
2024-04-17T00:05:52.068558255Z,112
2024-04-17T00:05:57.086274869Z,110
2024-04-17T00:06:02.103834074Z,109
2024-04-17T00:06:07.121326616Z,111
2024-04-17T00:06:12.138996088Z,112
2024-04-17T00:06:17.156593811Z,111
2024-04-17T00:06:22.072220007Z,110
2024-04-17T00:06:27.089742245Z,113
2024-04-17T00:06:32.107349916Z,111
2024-04-17T00:06:37.124791539Z,113
2024-04-17T00:06:42.142426655Z,111
2024-04-17T00:06:47.159970551Z,115
2024-04-17T00:06:52.177662535Z,112
2024-04-17T00:06:57.19554304Z,111
2024-04-17T00:07:02.110804124Z,112
2024-04-17T00:07:07.128557806Z,111
2024-04-17T00:07:12.145640099Z,111
2024-04-17T00:07:17.163368335Z,112
2024-04-17T00:07:22.181205767Z,114
2024-04-17T00:07:27.198840352Z,109
2024-04-17T00:07:32.216369654Z,110
2024-04-17T00:07:37.131863235Z,113
2024-04-17T00:07:42.149467578Z,109
2024-04-17T00:07:47.166835731Z,111
2024-04-17T00:07:52.184755313Z,110
2024-04-17T00:07:57.202289431Z,110
2024-04-17T00:08:02.219898247Z,111
2024-04-17T00:08:07.241733776Z,111
2024-04-17T00:08:12.255116422Z,111
2024-04-17T00:08:17.170535308Z,111
2024-04-17T00:08:22.187848023Z,110
2024-04-17T00:08:27.205794502Z,110
2024-04-17T00:08:32.223260616Z,110
2024-04-17T00:08:37.240734045Z,112
2024-04-17T00:08:42.258612673Z,112
2024-04-17T00:08:47.276324894Z,112
2024-04-17T00:08:52.191657057Z,111
2024-04-17T00:08:57.209265671Z,113
2024-04-17T00:09:02.227871536Z,112
2024-04-17T00:09:07.306300676Z,111
2024-04-17T00:09:12.262693235Z,113
2024-04-17T00:09:17.284690496Z,113
2024-04-17T00:09:22.297982745Z,113
2024-04-17T00:09:27.213022466Z,112
2024-04-17T00:09:32.230959968Z,113
2024-04-17T00:09:37.247853376Z,112
2024-04-17T00:09:42.373943346Z,111
2024-04-17T00:09:47.28350085Z,113
2024-04-17T00:09:52.302010275Z,111
2024-04-17T00:09:57.318070197Z,111
2024-04-17T00:10:02.341531648Z,112
2024-04-17T00:10:07.251244376Z,110
2024-04-17T00:10:12.26916864Z,111
2024-04-17T00:10:17.286476215Z,112
2024-04-17T00:10:22.303899866Z,112
2024-04-17T00:10:27.321656039Z,112
2024-04-17T00:10:32.340319374Z,112
2024-04-17T00:10:37.356927628Z,113
2024-04-17T00:10:42.272336977Z,113
2024-04-17T00:10:47.29041096Z,112
2024-04-17T00:10:52.307208259Z,112
2024-04-17T00:10:57.32511696Z,112
2024-04-17T00:11:02.342949417Z,112
2024-04-17T00:11:07.360675762Z,111
2024-04-17T00:11:12.378987594Z,112
2024-04-17T00:11:17.395640477Z,112
2024-04-17T00:11:22.310891005Z,111
2024-04-17T00:11:27.328928633Z,107
2024-04-17T00:11:32.346599535Z,111
2024-04-17T00:11:37.363789805Z,111
2024-04-17T00:11:42.382072748Z,118
2024-04-17T00:11:47.399494321Z,111
2024-04-17T00:11:52.416598639Z,113
2024-04-17T00:11:57.332118289Z,110
2024-04-17T00:12:02.349959611Z,112
2024-04-17T00:12:07.367070304Z,114
2024-04-17T00:12:12.384870374Z,113
2024-04-17T00:12:17.402798348Z,111
2024-04-17T00:12:22.420464844Z,111
2024-04-17T00:12:27.438156563Z,111
2024-04-17T00:12:32.45551789Z,113
2024-04-17T00:12:37.370780464Z,112
2024-04-17T00:12:42.490664335Z,112
2024-04-17T00:12:47.405959908Z,113
2024-04-17T00:12:52.423692435Z,111
2024-04-17T00:12:57.441437954Z,111
2024-04-17T00:13:02.459073093Z,111
2024-04-17T00:13:07.47663663Z,112
2024-04-17T00:13:12.392021944Z,111
2024-04-17T00:13:17.409773186Z,112
2024-04-17T00:13:22.427132687Z,109
2024-04-17T00:13:27.444669532Z,112
2024-04-17T00:13:32.462408866Z,111
2024-04-17T00:13:37.393659042Z,110
2024-04-17T00:13:42.497584641Z,114
2024-04-17T00:13:47.413046696Z,111
2024-04-17T00:13:52.430254941Z,112
2024-04-17T00:13:57.448246025Z,112
2024-04-17T00:14:02.465694072Z,114
2024-04-17T00:14:07.483072718Z,112
2024-04-17T00:14:12.500915606Z,112
2024-04-17T00:14:17.520223968Z,109
2024-04-17T00:14:22.536471755Z,111
2024-04-17T00:14:27.455665346Z,111
2024-04-17T00:14:32.469344462Z,110
2024-04-17T00:14:37.486915372Z,110
2024-04-17T00:14:42.504765714Z,110
2024-04-17T00:14:47.522002596Z,114
2024-04-17T00:14:52.540258841Z,112
2024-04-17T00:14:57.55771406Z,113
2024-04-17T00:15:02.472646617Z,113
2024-04-17T00:15:07.490575131Z,110
2024-04-17T00:15:12.507957523Z,113
2024-04-17T00:15:17.525770804Z,112
2024-04-17T00:15:22.543239781Z,111
2024-04-17T00:15:27.56072295Z,111
2024-04-17T00:15:32.578527767Z,114
2024-04-17T00:15:37.493687185Z,113
2024-04-17T00:15:42.61559408Z,112
2024-04-17T00:15:47.529611741Z,112
2024-04-17T00:15:52.546618356Z,110
2024-04-17T00:15:57.564282613Z,112
2024-04-17T00:16:02.582048068Z,114
2024-04-17T00:16:07.600430581Z,111
2024-04-17T00:16:12.514674156Z,113
2024-04-17T00:16:17.532455806Z,109
2024-04-17T00:16:22.550198253Z,112
2024-04-17T00:16:27.567648579Z,112
2024-04-17T00:16:32.585317084Z,111
2024-04-17T00:16:37.603551317Z,110
2024-04-17T00:16:42.582483521Z,113
2024-04-17T00:16:47.535696164Z,109
2024-04-17T00:16:52.553403473Z,124
2024-04-17T00:16:57.571237881Z,110
2024-04-17T00:17:02.588524767Z,112
2024-04-17T00:17:07.606225692Z,112
2024-04-17T00:17:12.624670437Z,112
2024-04-17T00:17:17.641530113Z,111
2024-04-17T00:17:22.556905487Z,110
2024-04-17T00:17:27.574459461Z,110
2024-04-17T00:17:32.591851811Z,116
2024-04-17T00:17:37.610843958Z,112
2024-04-17T00:17:42.627594765Z,111
2024-04-17T00:17:47.645273623Z,112
2024-04-17T00:17:52.662737238Z,112
2024-04-17T00:17:57.578266884Z,112
2024-04-17T00:18:02.595550587Z,111
2024-04-17T00:18:07.613253133Z,112
2024-04-17T00:18:12.63075952Z,112
2024-04-17T00:18:17.648387649Z,112
2024-04-17T00:18:22.666075341Z,113
2024-04-17T00:18:27.683787369Z,114
2024-04-17T00:18:32.599016832Z,113
2024-04-17T00:18:37.61693099Z,111
2024-04-17T00:18:42.736852416Z,111
2024-04-17T00:18:47.652472568Z,113
2024-04-17T00:18:52.669375233Z,111
2024-04-17T00:18:57.687039436Z,110
2024-04-17T00:19:02.704876428Z,115
2024-04-17T00:19:07.619929568Z,113
2024-04-17T00:19:12.637861855Z,112
2024-04-17T00:19:17.655302635Z,111
2024-04-17T00:19:22.673017057Z,108
2024-04-17T00:19:27.690308748Z,109
2024-04-17T00:19:32.70810471Z,114
2024-04-17T00:19:37.72582869Z,110
2024-04-17T00:19:42.641354Z,110
2024-04-17T00:19:47.658985052Z,111
2024-04-17T00:19:52.684392707Z,111
2024-04-17T00:19:57.694034703Z,111
2024-04-17T00:20:02.711540191Z,112
2024-04-17T00:20:07.729156798Z,109
2024-04-17T00:20:12.746803503Z,114
2024-04-17T00:20:17.662187704Z,110
2024-04-17T00:20:22.680004355Z,111
2024-04-17T00:20:27.697506039Z,117
2024-04-17T00:20:32.715009849Z,111
2024-04-17T00:20:37.733027332Z,112
2024-04-17T00:20:42.750133578Z,113
2024-04-17T00:20:47.767572401Z,111
2024-04-17T00:20:52.688127558Z,112
2024-04-17T00:20:57.701031475Z,112
2024-04-17T00:21:02.718189478Z,111
2024-04-17T00:21:07.736417529Z,113
2024-04-17T00:21:12.753497849Z,111
2024-04-17T00:21:17.771164885Z,112
2024-04-17T00:21:22.789712126Z,111
2024-04-17T00:21:27.704114769Z,111
2024-04-17T00:21:32.722417028Z,113
2024-04-17T00:21:37.739499132Z,111
2024-04-17T00:21:42.757145905Z,112
2024-04-17T00:21:47.77485193Z,114
2024-04-17T00:21:52.792737946Z,111
2024-04-17T00:21:57.810038596Z,111
2024-04-17T00:22:02.725610531Z,108
2024-04-17T00:22:07.743094558Z,112
2024-04-17T00:22:12.760868292Z,112
2024-04-17T00:22:17.778105845Z,111
2024-04-17T00:22:22.795614116Z,109
2024-04-17T00:22:27.813685234Z,112
2024-04-17T00:22:32.831023482Z,112
2024-04-17T00:22:37.746588816Z,112
2024-04-17T00:22:42.764469446Z,110
2024-04-17T00:22:47.781564906Z,112
2024-04-17T00:22:52.799233432Z,110
2024-04-17T00:22:57.816697784Z,111
2024-04-17T00:23:02.834912647Z,113
2024-04-17T00:23:07.751392202Z,109
2024-04-17T00:23:12.870080457Z,113
2024-04-17T00:23:17.78511232Z,111
2024-04-17T00:23:22.803136745Z,111
2024-04-17T00:23:27.820302437Z,113
2024-04-17T00:23:32.837842673Z,111
2024-04-17T00:23:37.855722682Z,113
2024-04-17T00:23:42.771633822Z,110
2024-04-17T00:23:47.788619113Z,110
2024-04-17T00:23:52.806206982Z,110
2024-04-17T00:23:57.823653603Z,112
2024-04-17T00:24:02.841334916Z,109
2024-04-17T00:24:07.859237724Z,111
2024-04-17T00:24:12.876597421Z,112
2024-04-17T00:24:17.868046227Z,114
2024-04-17T00:24:22.809390665Z,112
2024-04-17T00:24:27.827148837Z,112
2024-04-17T00:24:32.844748835Z,112
2024-04-17T00:24:37.862428885Z,112
2024-04-17T00:24:42.880570089Z,112
2024-04-17T00:24:47.897875758Z,112
2024-04-17T00:24:52.813223323Z,112
2024-04-17T00:24:57.83075095Z,110
2024-04-17T00:25:02.848963518Z,110
2024-04-17T00:25:07.866087757Z,112
2024-04-17T00:25:12.887628261Z,111
2024-04-17T00:25:17.901818912Z,111
2024-04-17T00:25:22.918743673Z,112
2024-04-17T00:25:27.834133153Z,110
2024-04-17T00:25:32.851852298Z,115
2024-04-17T00:25:37.869411854Z,113
2024-04-17T00:25:42.888254642Z,112
2024-04-17T00:25:47.904664348Z,115
2024-04-17T00:25:52.922129399Z,111
2024-04-17T00:25:57.939970089Z,115
2024-04-17T00:26:02.855230741Z,111
2024-04-17T00:26:07.873186178Z,114
2024-04-17T00:26:12.992712911Z,113
2024-04-17T00:26:17.908146089Z,112
2024-04-17T00:26:22.930149307Z,112
2024-04-17T00:26:27.943193993Z,110
2024-04-17T00:26:32.960764779Z,113
2024-04-17T00:26:37.876468232Z,112
2024-04-17T00:26:42.893631081Z,111
2024-04-17T00:26:47.911294002Z,112
2024-04-17T00:26:52.929189073Z,111
2024-04-17T00:26:57.946976658Z,114
2024-04-17T00:27:02.964335005Z,112
2024-04-17T00:27:07.87976209Z,111
2024-04-17T00:27:12.897772219Z,112
2024-04-17T00:27:17.914826831Z,113
2024-04-17T00:27:22.932437931Z,111
2024-04-17T00:27:27.950312275Z,112
2024-04-17T00:27:32.968029882Z,112
2024-04-17T00:27:37.985482159Z,112
2024-04-17T00:27:43.003437434Z,110
2024-04-17T00:27:47.918470827Z,112
2024-04-17T00:27:52.935764576Z,111
2024-04-17T00:27:57.953548098Z,111
2024-04-17T00:28:02.971205505Z,111
2024-04-17T00:28:07.988612039Z,111
2024-04-17T00:28:13.006569823Z,113
2024-04-17T00:28:17.921957692Z,111
2024-04-17T00:28:22.939744478Z,111
2024-04-17T00:28:27.956848045Z,111
2024-04-17T00:28:32.974986985Z,112
2024-04-17T00:28:37.992213574Z,115
2024-04-17T00:28:43.010505661Z,112
2024-04-17T00:28:48.028126453Z,112
2024-04-17T00:28:52.942809035Z,112
2024-04-17T00:28:57.960673165Z,103
2024-04-17T00:29:02.978089918Z,110
2024-04-17T00:29:07.995856515Z,111
2024-04-17T00:29:13.013394827Z,111
2024-04-17T00:29:18.031667202Z,112
2024-04-17T00:29:23.048806042Z,111
2024-04-17T00:29:27.96387777Z,113
2024-04-17T00:29:32.981525298Z,111
2024-04-17T00:29:37.999374547Z,112
2024-04-17T00:29:43.016761282Z,113
2024-04-17T00:29:48.034274631Z,116
2024-04-17T00:29:53.052089499Z,112
2024-04-17T00:29:58.069922304Z,113
2024-04-17T00:30:02.994363877Z,113
2024-04-17T00:30:08.008679867Z,112
2024-04-17T00:30:13.02017399Z,113
2024-04-17T00:30:18.03793464Z,113
2024-04-17T00:30:23.055645531Z,113
2024-04-17T00:30:28.073164392Z,112
2024-04-17T00:30:33.090726793Z,112
2024-04-17T00:30:38.006121592Z,112
2024-04-17T00:30:43.12622998Z,111
