time,value
2024-04-17T07:57:10.94438646Z,0
2024-04-17T08:02:12.209828524Z,117
2024-04-17T08:07:13.57821191Z,171
2024-04-17T08:12:14.845201247Z,187
2024-04-17T08:17:16.310724213Z,198
2024-04-17T08:22:17.678379249Z,182
2024-04-17T08:27:19.045962245Z,173
2024-04-17T08:32:20.413413611Z,159
2024-04-17T08:37:21.788275893Z,180
2024-04-17T08:42:23.04718165Z,0
2024-04-17T08:47:24.41367666Z,191
2024-04-17T08:52:25.781536638Z,195
2024-04-17T08:57:27.154559497Z,196
2024-04-17T09:03:20.05955949Z,180
2024-04-17T09:08:21.531008658Z,182
2024-04-17T09:13:22.791081731Z,182
2024-04-17T09:18:24.16393786Z,186
2024-04-17T09:23:25.729784534Z,178
2024-04-17T09:28:26.884446909Z,179
2024-04-17T09:33:28.253826423Z,186
2024-04-17T09:38:29.511278634Z,165
2024-04-17T09:43:30.876235518Z,0
2024-04-17T09:48:32.250849985Z,180
2024-04-17T09:53:33.606201496Z,184
2024-04-17T09:58:34.972555616Z,161
2024-04-17T10:03:36.33734945Z,0
2024-04-17T10:05:45.462970629Z,178
2024-04-17T10:09:00.64091915Z,204
2024-04-17T10:14:01.904236285Z,215
2024-04-17T10:19:03.371817336Z,223
2024-04-17T10:24:04.842813933Z,222
2024-04-17T10:29:05.177899285Z,218
2024-04-17T10:34:05.518864645Z,197
2024-04-17T10:39:05.859419583Z,202
2024-04-17T10:44:06.200016135Z,175
2024-04-17T10:49:06.54097899Z,188
2024-04-17T10:54:06.881719327Z,218
2024-04-17T10:59:07.223752313Z,211
2024-04-17T11:04:07.568495403Z,210
2024-04-17T11:09:07.905367653Z,214
2024-04-17T11:14:08.349582581Z,209
2024-04-17T11:19:08.690637559Z,192
2024-04-17T11:24:09.033743185Z,202
2024-04-17T11:29:09.371534944Z,192
2024-04-17T11:34:09.814260074Z,186
2024-04-17T11:39:10.154798905Z,193
2024-04-17T11:44:10.598464388Z,166
2024-04-17T11:49:12.066446769Z,231
2024-04-17T11:54:13.431940314Z,376
2024-04-17T11:59:13.93101423Z,603
2024-04-17T12:04:14.272457991Z,440
2024-04-17T12:09:15.479000844Z,614
2024-04-17T12:14:15.819254182Z,572
2024-04-17T12:19:16.057462917Z,518
2024-04-17T12:24:17.525679148Z,417
2024-04-17T12:27:40.246957391Z,414
2024-04-17T12:32:40.896074963Z,375
2024-04-17T12:34:36.814508865Z,334
2024-04-17T12:39:37.670792417Z,790
2024-04-17T12:44:38.013579525Z,293
2024-04-17T12:45:52.07355968Z,341
2024-04-17T12:50:52.414311872Z,353
2024-04-17T12:55:52.760194636Z,387
2024-04-17T13:00:54.222579558Z,417
2024-04-17T13:05:55.588279072Z,442
2024-04-17T13:10:56.031328312Z,329
2024-04-17T13:15:57.398122471Z,272
2024-04-17T13:20:58.763413019Z,234
2024-04-17T13:25:59.307404647Z,297
2024-04-17T13:30:59.649966377Z,308
2024-04-17T13:36:00.102985103Z,307
2024-04-17T13:41:01.458466939Z,312
2024-04-17T13:46:03.027147516Z,326
2024-04-17T13:51:04.288715291Z,344
2024-04-17T13:51:52.631626749Z,333
2024-04-17T13:56:13.754572499Z,383
2024-04-17T14:01:15.32729228Z,326
2024-04-17T14:03:17.483367623Z,335
2024-04-17T14:08:18.843022831Z,274
2024-04-17T14:13:19.695250668Z,294
2024-04-17T14:18:20.036197972Z,242
2024-04-17T14:23:20.789214744Z,322
2024-04-17T14:28:21.536993446Z,306
2024-04-17T14:33:22.799879715Z,358
2024-04-17T14:38:23.143830009Z,355
2024-04-17T14:41:04.625370401Z,397
2024-04-17T14:41:05.752091305Z,438
2024-04-17T14:41:06.878201271Z,399
2024-04-17T14:41:08.004965983Z,382
2024-04-17T14:41:09.131071515Z,387
2024-04-17T14:41:10.155288377Z,381
2024-04-17T14:41:11.281941699Z,381
2024-04-17T14:41:12.411765901Z,383
2024-04-17T14:41:13.545115224Z,382
2024-04-17T14:41:14.660894622Z,392
2024-04-17T14:41:15.787235504Z,392
2024-04-17T14:41:17.018322383Z,391
2024-04-17T14:41:18.041351138Z,395
2024-04-17T14:41:19.172346526Z,384
2024-04-17T14:41:20.29262144Z,387
2024-04-17T14:41:21.41934554Z,390
2024-04-17T14:41:22.546087886Z,389
2024-04-17T14:41:23.550746125Z,391
2024-04-17T14:41:24.697653582Z,390
2024-04-17T14:41:25.822483461Z,393
2024-04-17T14:41:26.948943975Z,392
2024-04-17T14:41:28.075448462Z,391
2024-04-17T14:41:29.304152387Z,394
2024-04-17T14:41:30.328262545Z,395
2024-04-17T14:41:31.455162889Z,389
2024-04-17T14:41:32.585287511Z,391
2024-04-17T14:41:33.707123495Z,392
2024-04-17T14:41:34.731120442Z,390
2024-04-17T14:41:35.858466108Z,391
2024-04-17T14:41:36.98418557Z,393
2024-04-17T14:41:38.111081964Z,391
2024-04-17T14:41:39.339253483Z,393
2024-04-17T14:41:40.36706445Z,390
2024-04-17T14:41:41.490048635Z,394
2024-04-17T14:41:42.616716595Z,390
2024-04-17T14:41:43.742347693Z,395
2024-04-17T14:41:44.97100292Z,393
2024-04-17T14:41:45.995343211Z,399
2024-04-17T14:41:47.121748907Z,391
2024-04-17T14:41:48.248103306Z,388
2024-04-17T14:41:49.27809283Z,392
2024-04-17T14:41:50.408802899Z,397
2024-04-17T14:41:51.491441195Z,396
2024-04-17T14:41:52.657309081Z,392
2024-04-17T14:41:53.781850544Z,392
2024-04-17T14:41:54.906458028Z,393
2024-04-17T14:41:56.139286467Z,396
2024-04-17T14:41:57.261987393Z,391
2024-04-17T14:41:58.283448434Z,391
